overall score 2019,overall score 2021,rank 2021,pct
76.2,75.9,1,-0.003937007874015741
73.2,71.1,2,-0.028688524590164022
72.0,70.9,3,-0.015277777777777724
68.9,68.2,5,-0.010159651669085723
68.6,67.8,6,-0.011661807580174877
68.3,67.2,7,-0.016105417276720324
67.7,64.7,11,-0.04431314623338256
67.6,69.8,4,0.03254437869822491
67.3,64.4,12,-0.043090638930163294
66.4,64.9,10,-0.02259036144578308
