Geography,year,Life Expectancy at Birth
French Polynesia,2017,77.3
Guam,2017,79.6
"Hong Kong, China",2017,84.7
India,2017,69.2
Indonesia,2017,71.3
Japan,2017,84.1
Kazakhstan,2017,73.0
Kiribati,2017,67.9
Kyrgyzstan,2017,71.2
Laos,2017,67.3
"Macau, China",2017,84.0
Malaysia,2017,75.8
Maldives,2017,78.3
Mongolia,2017,69.5
Myanmar,2017,66.6
Nepal,2017,70.2
New Caledonia,2017,77.2
North Korea,2017,71.9
Pakistan,2017,66.9
Papua New Guinea,2017,64.0
Philippines,2017,71.0
Samoa,2017,73.0
Singapore,2017,83.1
Solomon Islands,2017,72.6
South Korea,2017,82.6
Sri Lanka,2017,76.6
Taiwan,2017,80.5
Tajikistan,2017,70.6
Thailand,2017,76.7
Tonga,2017,70.7
Turkmenistan,2017,68.0
Uzbekistan,2017,71.4
Vanuatu,2017,70.2
Vietnam,2017,75.2
Australasia,2017,82.4
Australia,2017,82.5
New Zealand,2017,81.7
Eastern Europe,2017,74.2
Albania,2017,78.6
Belarus,2017,74.1
Bosnia and Herzegovina,2017,77.1
Bulgaria,2017,74.8
Croatia,2017,78.0
Czech Republic,2017,79.1
Estonia,2017,78.4
Georgia,2017,73.4
Hungary,2017,76.0
Kosovo,2017,71.9
Latvia,2017,74.9
Lithuania,2017,75.8
Moldova,2017,70.8
Montenegro,2017,76.7
North Macedonia,2017,76.0
Poland,2017,77.8
Romania,2017,75.2
Russia,2017,72.7
Serbia,2017,75.6
Slovakia,2017,77.3
Slovenia,2017,81.2
Ukraine,2017,71.8
Latin America,2017,75.3
Antigua and Barbuda,2017,76.8
Argentina,2017,76.4
Aruba,2017,76.0
Bahamas,2017,73.6
Barbados,2017,79.0
Belize,2017,74.4
Bolivia,2017,70.9
Brazil,2017,75.5
Chile,2017,79.9
Colombia,2017,76.9
Costa Rica,2017,79.9
Cuba,2017,78.7
Curacao,2017,78.6
Dominican Republic,2017,73.7
Ecuador,2017,76.6
El Salvador,2017,72.9
French Guiana,2017,79.7
Grenada,2017,72.4
Guadeloupe,2017,81.7
Guatemala,2017,73.8
Guyana,2017,69.6
Haiti,2017,63.3
Honduras,2017,74.9
Jamaica,2017,74.3
Martinique,2017,82.2
Mexico,2017,74.9
Nicaragua,2017,74.1
Panama,2017,78.1
Paraguay,2017,74.0
Peru,2017,76.3
Puerto Rico,2017,79.8
St Lucia,2017,75.9
St Vincent and the Grenadines,2017,72.3
Suriname,2017,71.5
Trinidad and Tobago,2017,73.2
Uruguay,2017,77.6
US Virgin Islands,2017,80.3
Venezuela,2017,72.2
Middle East and Africa,2017,64.7
Algeria,2017,76.5
Angola,2017,60.4
Bahrain,2017,77.0
Benin,2017,61.2
Botswana,2017,68.8
Burkina Faso,2017,60.8
Burundi,2017,60.9
Cabo Verde,2017,72.6
Cameroon,2017,58.5
Central African Republic,2017,52.2
