Geography,year,Life Expectancy at Birth
Belarus,2021,74.2
Bosnia and Herzegovina,2021,77.4
Bulgaria,2021,73.5
Croatia,2021,78.0
Czech Republic,2021,78.2
Estonia,2021,78.5
Georgia,2021,73.8
Hungary,2021,75.6
Kosovo,2021,72.5
Latvia,2021,75.6
Lithuania,2021,75.0
Moldova,2021,70.9
Montenegro,2021,77.0
North Macedonia,2021,76.6
Poland,2021,76.4
Romania,2021,74.3
Russia,2021,73.3
Serbia,2021,75.7
Slovakia,2021,76.8
Slovenia,2021,80.8
Ukraine,2021,71.8
Latin America,2021,75.5
Antigua and Barbuda,2021,77.3
Argentina,2021,76.7
Aruba,2021,76.6
Bahamas,2021,74.2
Barbados,2021,79.4
Belize,2021,74.9
Bolivia,2021,71.5
Brazil,2021,75.5
Chile,2021,80.2
Colombia,2021,77.3
Costa Rica,2021,79.9
Cuba,2021,79.0
Curacao,2021,79.2
Dominican Republic,2021,74.4
Ecuador,2021,77.0
El Salvador,2021,73.7
French Guiana,2021,80.3
Grenada,2021,72.5
Guadeloupe,2021,82.5
Guatemala,2021,74.3
Guyana,2021,70.1
Haiti,2021,64.6
Honduras,2021,75.6
Jamaica,2021,74.7
Martinique,2021,82.9
Mexico,2021,75.1
Nicaragua,2021,74.9
Panama,2021,78.9
Paraguay,2021,74.5
Peru,2021,76.7
Puerto Rico,2021,80.4
St Lucia,2021,76.5
St Vincent and the Grenadines,2021,72.8
Suriname,2021,71.9
Trinidad and Tobago,2021,73.7
Uruguay,2021,77.6
US Virgin Islands,2021,80.9
Venezuela,2021,72.1
Middle East and Africa,2021,65.7
Algeria,2021,77.2
Angola,2021,61.8
Bahrain,2021,77.0
Benin,2021,62.4
Botswana,2021,69.9
Burkina Faso,2021,62.4
Burundi,2021,62.2
Cabo Verde,2021,73.3
Cameroon,2021,59.9
Central African Republic,2021,54.0
Chad,2021,54.8
Comoros,2021,64.7
"Congo, Democratic Republic",2021,61.2
Congo-Brazzaville,2021,65.0
Côte d'Ivoire,2021,58.4
Djibouti,2021,67.7
Egypt,2021,72.0
Equatorial Guinea,2021,59.4
Eritrea,2021,67.0
Eswatini,2021,61.0
Ethiopia,2021,67.3
Gabon,2021,66.9
Gambia,2021,62.7
Ghana,2021,64.6
Guinea,2021,62.3
Guinea-Bissau,2021,58.9
Iran,2021,77.1
Iraq,2021,70.9
Israel,2021,82.8
Jordan,2021,74.8
Kenya,2021,67.2
Kuwait,2021,75.3
Lebanon,2021,79.1
Lesotho,2021,55.2
Liberia,2021,64.7
Libya,2021,73.2
Madagascar,2021,67.7
Malawi,2021,65.1
Mali,2021,60.1
Mauritania,2021,65.3
Mauritius,2021,75.3
Morocco,2021,77.1
Mozambique,2021,61.8
Namibia,2021,64.4
Niger,2021,63.1
Nigeria,2021,55.3
Oman,2021,77.4
Qatar,2021,79.9
Réunion,2021,81.1
Rwanda,2021,69.6
Sao Tomé e Príncipe,2021,70.8
Saudi Arabia,2021,75.4
Senegal,2021,68.5
Seychelles,2021,73.6
Sierra Leone,2021,55.4
Somalia,2021,58.0
South Africa,2021,64.1
South Sudan,2021,58.4
Sudan,2021,65.8
Syria,2021,74.6
Tanzania,2021,66.1
Togo,2021,61.7
Tunisia,2021,76.7
Uganda,2021,64.0
United Arab Emirates,2021,77.7
Yemen,2021,66.3
Zambia,2021,64.5
Zimbabwe,2021,62.0
North America,2021,79.1
Canada,2021,82.1
USA,2021,78.8
Western Europe,2021,81.4
Austria,2021,81.4
Belgium,2021,81.1
Cyprus,2021,82.5
Denmark,2021,81.3
Finland,2021,81.8
France,2021,82.4
Germany,2021,81.3
Greece,2021,81.0
Iceland,2021,83.3
Ireland,2021,82.5
Italy,2021,82.5
Liechtenstein,2021,82.0
Luxembourg,2021,82.0
Malta,2021,82.8
Netherlands,2021,81.6
Norway,2021,83.5
Portugal,2021,80.9
Spain,2021,82.5
Sweden,2021,82.6
Switzerland,2021,83.3
Turkey,2021,78.6
United Kingdom,2021,81.4
